,Tytuł,Kliknięcia linku
5022,"Szkolna powtórka. Co pamiętasz z lekcji biologii? Sprawdź, czy zdobędziesz choć połowę punktów",1004
5023,"Poznasz państwo po kształcie? To nie jest taki łatwy quiz, jakby się mogło wydawać ",752
5024,Dobranocki twojego dzieciństwa. Rozpoznasz je tylko po jednym kadrze? ,29239
5025,"Środek tygodnia, a jak Wasza forma? Sprawdzimy w quizie wiedzy ogólnej",1840
5026,"5 szybkich pytań, 5 szybkich odpowiedzi. Podejmiesz wyzwanie? Niektórzy zdobywają 0 punktów",1038
5027,Rozpoznasz te słynne osoby po ich pseudonimach? Średnia to 10/15,2269
5028,"Jesteśmy pewni, że słyszałeś o tych miejscach, ale czy wiesz, gdzie się znajdują? Średnia 10/15",1046
5029,"Quiz - 12 kobiet z historii Polski, które zna każda wykształcona osoba. Należysz do nich?",3747
5030,"Minęło ponad dwadzieścia lat - pora sprawdzić, jak dobrze pamiętasz rok 2000",10710
5031,"""Jeśli nie chcesz mojej zguby, krokodyla daj mi luby"". Kojarzysz ten cytat?",780
5032,"Quiz, którego nie ma. Tylko otwarty umysł pozwoli Ci przejść przez pytania",5693
5033,"Quiz - Lubisz Toma Hanksa? Sprawdź, ile wiesz o filmach, w których zagrał",906
5034,Quiz - Lew. Quiz wiedzy ogólnej,1202
5035,"Quiz - Znasz wieś Bronowice? Sprawdź, czy rozpoznasz książkę po miejscu akcji",15805
5036,"Pamiętasz słynne reklamy lat 90.? To się teraz okaże. ""Z Kasią ci się....""
",17540
5037,"Lubisz polskie seriale? Komplet punktów to Twój obowiązek. Pamiętasz ""Bulionerów""?",3386
5038,"Jeśli jesteś dobry z geografii, to masz szanse na komplet. Reszta odpadnie już na 1. pytaniu",1788
5039,"Wiesz, co znaczy ""umaić""? A ""rubaszny""? Tylko erudyci zdobędą tu komplet punktów",2193
5040,"Wiesz, gdzie można skosztować kartaczy? Szanse na komplet punktów są bardzo małe ",1509
5041,"Pytamy o zwierzęta, a wasza średnia to tylko 7/12. Podniesiecie ją? ",1319
5042,To azjatyckie czy afrykańskie państwo? Tylko mistrzowie geografii mogą liczyć na komplet,10531
5043,"11 pytań, które zadają dzieci. Sprawdź, czy się nie ośmieszysz i potrafisz na nie odpowiedzieć",2732
5044,"My podajemy trzy tytuły, ty wskaż wykonawcę. Tylko prawdziwy fan polskiej muzyki zdobędzie 12/12",54946
5045,Czy zdałbyś test na brytyjskie prawo jazdy? Szóste pytanie rozkłada was na łopatki,9150
5046,Najlepszy sposób na rozpoczęcie majówki? Copiątkowy! Zdobędziesz 10/10,18715
5047,Z ekstremalnym nie ma żartów. Poradzą sobie tylko najlepsi,22784
5048,"Stolicą Japonii jest: a) Fukushima, b) Kioto, c) Tokio. Wiesz? Już masz jeden punkt",1961
5049,Jeździłeś dużym fiatem? Na te pytania odpowiedzą tylko znawcy motoryzacji,1477
5050,"My podajemy dwa miasta, ty wskaż trzecie z tego samego państwa. Łatwe? Niekoniecznie ",3072
5051,"Belgia nie graniczy z: a) Holandią, b) Luksemburgiem, c) Austrią. Wiesz? Masz już punkt",1023
5052,"Czytała Krystyna Czubówna. Ale... czy wiesz, kto mówi głosem tych postaci? ",775
5053,"Ten szybki test sprawdzi, co wiesz o ciele człowieka. Uważaj, aby nie wpaść w pułapkę ",1361
5054,"Jeśli boisz się wampirów, to nie licz na komplet punktów w tym quizie",12918
5055,"Miałeś piątkę z biologii? Sprawdzimy, czy jeszcze coś pamiętasz",22006
5056,"To miał być prosty quiz językowy, a wasze wyniki zaskakują. Co z wami?",19849
5057,"Pamiętasz co odlepiło się ""temu misiu""? Twoje szanse na komplet punktów rosną",2251
5058,"Myślisz, że znasz się na kotach? Ten ekstremalny quiz pokaże ci, że tak naprawdę nic o nich nie wiesz",730
5059,"To prosty quiz z województw, więc ci, którzy znają geografię, powinni zdobyć 12/12 ",1430
5060,"""Wiosna, ach to ty!"". Pamiętacie te wiosenne piosenki? ",1442
5061,"Jeśli w latach 90. nie słuchałeś radia, nawet nie próbuj rozwiązywać tego quizu ",1426
5062,"W tym quizie trzeba mieć sokole oko. Szukajcie podpowiedzi, jest ich wiele ",3470
5063,Ten quiz wiedzy ogólnej nie powinien sprawić Wam problemu. Kategoria: dom,3073
5064,Słynne filmowe duety. Kto zagrał z Wacławem Kowalskim: a) Pyrkosz; b) Kociniak; c) Hańcza? ,2930
5065,Quiz podróżniczy dla ambitnych. Pobijesz średnią 10/13?,3036
5066,"Pamiętasz, kto zagrał Zofię w serialu ""Alternatywy 4""? Masz już jeden punkt",19778
5067,"Jeśli wychowywałeś się w latach 90., to musisz je znać. Wszyscy wtedy śpiewali te hity",36078
5068,"Może być wiedeński, japoński lub nowojorski. Już wiesz, o co pytamy?",11151
5069,Szybka powtórka z biologii. Poradzisz sobie lepiej niż maturzysta? Sprawdź się!,4161
5070,"Jesteś spostrzegawczy? Przekonaj się, czy zapamiętasz wszystkie szczegóły",5379
5071,"Prawie 60 proc. z was nie zna odpowiedzi na 3. pytanie. Pytamy o słowa na literę ""f""",22586
5072,"Którego warzywa nie ma ""Na straganie""? a) brukselki; b) pomidora; c) fasoli; d) grochu?",30438
5073,"Im jesteś starszy, tym większe masz szanse na dobry wynik. Pytamy o przysmaki sprzed lat",8915
5074,Co jest stolicą Liechtensteinu? Pytamy o najmniejsze państwa świata,1995
5075,"Pamiętasz, kto mieszkał w Mirmiłowie? Sprawdź się w quizie o fikcyjnych miejscach",9855
5076,"Wybraliśmy 15 popularnych lektur szkolnych. Rozpoznasz po jednym słowie, o które pytamy?",5739
5077,"Ile tak naprawdę masz lat? Sprawdź, czy jeszcze jesteś dzieckiem",21869
5078,"""Jestem kobieta pracująca, żadnej pracy się nie boję"". W którym serialu padły te słowa?",5583
5079,"Odgadniesz, z którego filmu pochodzi cytat? 60 proc. z Was nie zna odpowiedzi na 9. pytanie",7760
5080,W tym quizie pytamy o lektury szkolne. Ale uwaga: jest jedno utrudnienie,22942
5081,"Przed wami trudny quiz geograficzny, w którym pytamy o rzeki świata",6243
5082,Z tymi pułapkami ortograficznymi mierzyliśmy się na dyktandach. Średnia 9/11,6892
5083,"Trzy słowa, jedna kategoria: osoba. Uda Ci się odgadnąć wszystkie?",4849
5084,"15 słów, które używał wykształcony Polak 60 lat temu. Sprawdź, ile z nich znasz!",8888
5085,"Sprawdź, czy nie mylisz tych wyrazów. Błąd może przynieść wiele wstydu",5494
5086,12 zagadek na spostrzegawczość. Poradzisz sobie czy dasz się oszukać iluzji?,5888
5087, Rozpoznasz roślinę po kwiatach? Z kartoflem i pomidorem nie pójdzie tak łatwo,5619
5088,"Pamiętasz, które utwory napisał Słowacki? Sprawdź, ile wiesz o słynnym wieszczu",8440
5089,"Masz 3 słowa podpowiedzi. Odgadniesz, o którą słynną osobę pytamy? Średnia: 11/15",2637
5090,"Kim jest z wykształcenia? Za co dostał Nobla? Sprawdź, czy sobie poradzisz z pytaniami o Wałęsę",16798
5091,"""Tyle słońca w całym mieście"" to przebój: a) Anny German; b) Ireny Jarockiej; c) Anny Jantar?",18475
5092,Sprawdź swoją wiedzę o roku 1989. Wiele osób myli się już w 3. pytaniu,25005
5093,"Wiesz, kto mieszkał w Stumilowym Lesie? Pytania dotyczą liczby 100. Sprawdź się",19882
5094,"Myślisz, że mówisz elegancką polszczyzną? A może w każdym zdaniu robisz byki? Sprawdź się",15029
5095,"Liczysz na komplet punktów? Jest szansa, ale musisz wykazać się wiedzą ",11494
5096,"To jeden z najtrudniejszych quizów, jakie zrobiliśmy. Pytamy o architekturę",1411
5097,"Temat wydaje się prosty, ale pytania mogą was zaskoczyć. Kategoria: uszy",13165
5098,22 to numer kierunkowy do: a) Skierniewic; b) Warszawy; c) Radomia? Domyślasz się?,2303
5099,Sprawdzimy twoją wiedzę o... zębach! Połowie z Was już drugie pytanie sprawia kłopot,8139
5100,Jak dobrze znasz filmy i książki o II wojnie światowej? Odważysz się sprawdzić? ,4438
5101,Ten quiz na zawsze oddzieli kuchennych mistrzów od leserów. Dasz sobie radę?,2850
5102,Quiz na spostrzegawczość. Jak szybko rozwiążesz te zadania?,6928
5103,"Niby wszyscy znają mitologię, a 80 proc. z Was wykłada się na pytaniu o Edypa. Wstyd!",7544
5104,Tylko wykształceni mają jakieś szanse. Rozumiesz te słówka? Pytamy o wyrazy na literę Z,5181
5105,"W tym quizie pytamy o kopie, zamienniki i podróbki. Dasz się omamić czy ujdziesz cało?",20461
5106,"17 faktów o Polakach podczas II wojny światowej, które każdy powinien znać ",1323
5107,"Słynne adaptacje filmowe. Idzie Wam cienko, średnia to tylko 5/11",18165
5108,"Znacie ""Akademię pana Kleksa""? Sprawdzimy, czy zdobędziecie chociaż 5 punktów",3292
5109,Najśmieszniejsze cytaty i wpadki gwiazd. Potrafisz wskazać autora tych złotych myśli?,1698
5110,"Masz trzy słowa, musisz odgadnąć, o jaki polski film pytamy. Dasz radę?",5759
5111,Copiątkowa gimnastyka umysłu. Przebijesz średnią? W tym tygodniu to prawdziwe wyzwanie,7084
5112,Ekstremalny quiz wiedzy tylko dla ambitnych. Podejmiecie wyzwanie?,7987
5113,Boski quiz wiedzy ogólnej. Masz otwarty umysł i szeroką wiedzę? Są szanse na komplet,10433
5114,Jadalne czy trujące? To zadanie tylko z pozoru jest łatwe,13547
5115,Quiz z przymrużeniem oka. Kim byłbyś w czasach prehistorii? Odpowiedz na kilka pytań,2563
5116,Przy tych piosenkach się bawiliśmy. Pamiętasz te dyskotekowe przeboje?,5877
5117,"Na pewno znasz te polskie filmy, a czy wiesz, co się stanie po tych scenach? Średnia tylko 6/11",2843
5118,"Pytamy tylko o ludzkie ciało, a Wasza średnia to 9/14. Pani od biologii nie byłaby dumna",20917
5119,Wielki test wiedzy ogólnej dla długodystansowców. Pobijesz średnią 68/100?,6723
5120,Trening umysłu. Zdobędziesz 10/10 w copiątkowym quizie?,2657
5121,"13 faktów z historii opozycji z czasów PRL-u, które każdy powinien znać",10021
5122,Ile wiesz o rybach? Sprawdź się w quizie wiedzy ogólnej,6290
5123,"Podajemy jedno słowo, a wy musicie odgadnąć, o kogo pytamy. Kategoria: znani Polacy",4516
5124,"Dlaczego powstają dziury w serze? Jeśli wiesz, to masz już jeden punkt",4169
5125,"Szkolna powtórka. 8 przedmiotów, 8 pytań. Zmierzysz się z koszmarami z dzieciństwa?",45459
5126,"Pytamy o miłość, a Wasza średnia to 6/12. Wynik powyżej 8 punktów będzie zaskoczeniem",14172
5127,"Postać autentyczna czy wymyślona? Sprawdź, czy dasz się zwieść",4551
5128,"Myślicie, że dziś będą fory? Nic z tego. Czas na ekstremalne pytania ",18604
5129,"Jeśli choć raz gotowałeś obiad, masz szanse na jakieś punkty w tym quizie",5691
5130,Amerykańscy studenci nie odpowiedzieli na żadne z tych pytań. Jesteś mądrzejszy?,21853
5131,Jesteś uważnym obserwatorem? Dopasuj tablice rejestracyjne do miast,6874
5132,"Sprawdź, czy bez problemów poradziłbyś sobie na lotnisku. Wielu nie daje rady",4791
5133,"Quiz dla wielbicieli krzyżówek. Masz pierwszą literę, musisz odgadnąć hasło",23901
5134,Czarne i białe to synonim czy antonim? Sprawdź się w quizie polonistycznym,9080
5135,"Tych kobiet nie wypada nie znać. Sprawdź, czy przebijesz średnią 8/13",13708
5136,Szkolny quiz to nie przelewki. Liczysz na komplet? Jest dostępny tylko dla prymusów,15402
5137,Wybraliśmy dla Was 15 kultowych filmów. Znasz chociaż połowę? Wasza średnia to zaledwie 6/15,2537
5138,"Jeśli nie chodzisz do kościoła, może być ciężko zdobyć komplet. Znasz pieśni religijne?",36216
5139,"Jeśli myślisz, że naprawdę znasz Polskę, musisz mieć z tego quizu co najmniej 12/15",16793
5140,"Znasz te powiedzenia? Quiz językowy, w którym na komplet mogą liczyć tylko wykształceni",3959
5141,"Polska graniczy z Białorusią, a z Rosją? Wbrew pozorom to nie jest łatwy quiz",11845
5142,"Łącznie czy rozdzielnie? Na pewno/napewno wiesz, jak napisać te słowa? Pobij 10/13",2040
5143,"Wystarczy 60 proc., by dostać czeskie obywatelstwo. Sprawdź się w teście",16413
5144,Dogadasz się z każdym Polakiem? Na pewno nie. Znasz te regionalizmy?,5563
5145,"""Iż Polacy nie gęsi"" - to słowa: a) Krasickiego; b) Reja; c) Słowackiego? Poznasz cytaty?",2731
5146,"Kolberg to: Szczecin, Kołobrzeg czy Szczytno? Odgadniesz nazwy miast po niemiecku?",2672
5147,"12 faktów o Misiu Uszatku, które musisz kojarzyć. Sprawdź, jak dobrze znasz bajkę dzieciństwa",12435
5148,"Trzy słowa, jedna kategoria: zdrowie człowieka. Poradzisz sobie z tym tematem?",4471
5149,Quiz logiczny. Tym razem wiedza to za mało. Popiszesz się bystrym umysłem?,15915
5150,"Tylko jeśli naprawdę kochasz jeść, będziesz mieć z tego quizu 13/13. Reszta może pomarzyć",37203
5151,Odpowiesz na 12 trudnych pytań? Tylko najlepsi powalczą o komplet punktów,3111
5152,"Myślisz, że biegle posługujesz się językiem polskim? Sprawdź swoje słownictwo. Średnia 8/11",18134
5153,"Te 8 pytań sprawdzi, czy masz pojęcie o sztuce. Jesteś koneserem czy leserem?",6945
5154,"Słynne ""Mów mi: wuju!"" wygłasza: a) Onufry Zagłoba; b) Cześnik; c) Felicjan Dulski?",1786
5155,"Latają, pełzają, brzęczą i żądlą. Sprawdź się w quizie przyrodniczym o owadach",2143
5156,70 proc. z was nie zna odpowiedzi na 3. pytanie. Sprawdź się w quizie o słynnych Janach,14400
5157,Na te pytania odpowiadali uczniowie szkół średnich. Porównaj swoje wyniki z ich wynikami,19079
5158,"Ten quiz ułożyła Magda Gessler! Myślisz, że wiesz wszystko o polskiej kuchni?",2456
5159,"Autor ""Balladyny"" to Mickiewicz, Słowacki, a może Krasiński? Pamiętasz tę lekturę?",13162
5160,"Wiesz, gdzie jest obojczyk? A mostek? Zrobisz ten quiz na 100 proc. tylko, jeśli jesteś lekarzem",6658
5161,"11 słynnych miejsc w Polsce, które trzeba koniecznie zobaczyć. Kojarzysz wszystkie?",2820
5162,"To najtrudniejszy quiz o truskawkach, jaki kiedykolwiek zrobisz. Sprawdź, co o nich wiesz",11835
5163,"Pytamy o popularne sery, a niektórzy  zdobywają w tym quizie 3/11. Dasz sobie radę?",847
5164,"15 niemieckich słów, które każda obyta osoba powinna znać. Pobijesz średnią 13/15?",10524
5165,W tym quizie mieszczuchy nie mają szans. Pytamy o rośliny i zwierzęta polskich łąk ,5132
5166,"Rozpoznasz, o kogo pytamy, jeśli podamy tylko jego pseudonim? Zdobędziesz 12/12?",4557
5167,Copiątkowa rozgrzewka przed weekendem. Uda się przebić średnią 5/10?,3036
5168,Rozwiązaliście copiątkowy quiz? Podnosimy poprzeczkę! ,1778
5169,"Jeżeli dobrze znasz geografię, to nie dasz się oszukać w naszym quizie. Pozostali bez szans",3250
5170,"My podajemy imię i nazwisko sportowca, Ty dopasuj dyscyplinę. Poradzisz sobie?",4026
5171,"To zadania z matematyki dla szkoły podstawowej, a Wy zdobywacie tylko 9. punktów",27478
5172,W szkole musieliśmy znać tę lekturę. Obejrzenie filmu nie wystarczy! Średnia 10/13,17249
5173,"Podajemy trzy tytuły, a Ty odgadujesz, który aktor zagrał we wszystkich podanych filmach",4252
5174,Pytamy o teksty polskich piosenek. Prawdopodobnie nie dacie sobie rady z 9. pytaniem,17845
5175,"Te 12 pytań sprawdzi, czy myślisz logicznie. Wydaje Ci się, że masz bystry umysł?",3458
5176,Poranne wyzwanie dla tęgich umysłów. Zdobędziesz 10/10?,3404
5177,"Siedem dziewcząt, siedem wzgórz, siedem życzeń - jak sobie poradzisz z tym quizem wiedzy ogólnej?",19192
5178,"Wiesz, czym był Czerwony Październik w filmie? Masz już jeden punkt",2084
5179,"12 żołnierskich piosenek, które na pewno słyszałeś. Sprawdź, jak dobrze je znasz",13836
5180,"Wiesz, w kogo wciela się Piotr Adamczyk w tym filmie? a) Chopina; b) Wojtyłę; c) Kolbego?",21415
5181,"Zgadniesz, w którym państwie znajduje się to miasto? To trudniejsze niż Ci się wydaje",4224
5182,"Na pewno wiesz, w jakim kieliszku podać wódkę. A whisky? Quiz tylko dla znawców ",10538
5183,"10 pytań z matematyki, na które odpowiadali uczniowie. Wypadniesz lepiej? Nikłe szanse",20931
5184,Rozbudziliście się już? Czas rozruszać szare komórki. Zdobędziesz 10/10?,3227
5185,"Ten quiz miał być łatwy, ale na pewno takim będzie? Musicie tylko uzupełnić tytuły książek",15654
5186,"Pytamy o województwa. Jeśli mylisz lubuskie z lubelskim, nie wróżymy sukcesu",4849
5187,"83. rocznica wybuchu II wojny światowej. Te 10 pytań sprawdzi, co wiesz o kampanii wrześniowej",7197
5188,Już nikt tak do nas nie powie. Pamiętasz jeszcze te teksty nauczycieli? ,6594
5189,"Wiesz, na jakim koniu jeździ łaska pańska? Sprawdź się w quizie o przysłowiach",4141
5190,5 pytań. Szybki quiz. Do dzieła!,13962
5191,Quiz o psach. Tylko prawdziwi wielbiciele psów mają szanse na komplet punktów,570
5192,"Imiona dzieci gwiazd. Przekonaj się, czy dobrze dopasujesz imię dziecka do znanego rodzica",1283
5193,Nie masz pamięci do imion? Ten quiz będzie ci się śnił po nocach ,43105
5194,W którym roku miał miejsce strajk w Stoczni Gdańskiej? Pytamy o słynne protesty,103
5195,"Włochy, Grecja, czy Hiszpania? Wiesz gdzie znajduje się to miasto?",873
5196,"Tych słów używali nasi dziadkowie. Wiesz, co znaczą te archaizmy? ",1155
5197,Dzisiaj pytamy o przeboje z kultowych filmów. My podajemy utwór - Ty dobierasz tytuł! Proste? Zobaczymy! ,760
5198,Słynne cytaty. Tylko erudyci mają szansę powalczyć o komplet,820
5199,"Tęsknisz za ""Grą o tron""? Sprawdzamy, jak dobrze pamiętasz świat Westeros",244
5200,"Pora na cośrodowy. Jesteście w nich coraz lepsi, więc podnosimy poprzeczkę!",12279
5201,W tym quizie pytamy tylko o miasta na literę K. Uda ci się odpowiedzieć na wszystkie pytania? ,5237
5202,"Rozpoznasz, który to władca Polski po obrazie Matejki? ",6074
5203,W tym quizie pytamy o przeszłość. Jeśli urodziłeś się w PRL na pewno sobie poradzisz,4376
5204,"""Jeśli nie chcesz mojej zguby, krokodyla daj mi luby"". Kojarzysz ten cytat?",486
5205,Dzisiaj hitowe spotkanie Polska - USA! Sprawdź swoją wiedzę i razem z nami kibicuj Polakom!,557
5206,"Prowadzącym ""Jeden z dziesięciu"" jest: a) Sznuk, b) Urbański, c) Strasburger?",4666
5207,"Kto wynalazł telefon? a) Diesel, b) Łukasiewicz, c) Bell? Wiesz, jak wielu Polaków tego nie wie?!",1091
5208,W tym quizie o gotowaniu pytamy o jedzenie na literę B. Sprawdź swoją wiedzę kulinarną,1369
5209,"My pokazujemy 12 pięknych miejsc, a wy musicie zdecydować, czy są w Polsce czy za jej granicą",624
5210,"My podajemy pisarza, Ty spróbuj wskazać jego książkę. Ultra-trudny quiz dla oczytanych! ",1543
5211,"To podstawowe pytania z historii i geografii naszego kraju. Pokaż, jak dobrze znasz Polskę",2159
5212,"Jeśli nie imprezowałeś w PRLu, to nie rozwiążesz tego quizu. Nie masz najmniejszych szans",2761
5213,"To jeden z trudniejszych quizów historycznych. Pytamy o starożytność, zdobędziesz chociaż 6/12? ",5449
5214,W tych musicalach śpiewamy razem z bohaterami. Quiz dla prawdziwych fanów gatunku,889
5215,"Uczniowie podstawówki znają odpowiedzi na te pytania, a ty? Sprawdź, co pamiętasz z lekcji polskiego",1816
5216,"Pamiętasz ""Mydełko Fa""? A ""Dumkę na dwa serca""? Sprawdź się w quizie o słynnych duetach",17012
5217,"Idealny quiz na wieczór, bo pytamy o horrory. Co wiesz o książkach z tego gatunku? ",394
5218,"Dziś sprawdzimy twoją pamięć. Wystarczy, że przypomnisz sobie, jak zaczynał się podany film. Proste?",1249
5219,Co mają ze sobą wspólnego te dwie osoby? Wiesz? Możesz się zdziwić,25989
5220,"Skąd wzięła się nazwa ""Beza Pavlova""? Wiesz? To masz już jeden punkt ",375
5221,W tym quizie pytamy o symbole pierwiastków - ile z nich potrafisz prawidłowo rozszyfrować? ,1304
5222,Anatomia kobiety ze szczyptą seksu. Zmierzysz się? To quiz tylko dla znawców,763
5223,"W dzisiejszym dyktandzie tylko ż/rz, ale niektóre pytania mogą zaskoczyć. Napiszesz bezbłędnie?",3225
5224,Te hity lat 90. na pewno nucisz pod nosem. A co o nich wiesz? Sprawdzamy!,20367
5225,To wydarzyło się w renesansie czy romantyzmie? Quiz dla ekspertów ,428
5226,Czy metal może rozpuścić się w dłoni? Wiesz? Oto 5 szybkich (i trudnych) pytań o materiałach,3109
5227,"Podajemy jedno zdanie opisu, ty odgadujesz hasło. 12 pytań dla sprawnie myślących",2157
5228,"Pamiętasz ""Daj mi tę noc"" albo ""Śpij, kochanie, śpij""? Spróbuj zdobyć więcej niż 8 punktów",25385
5229,"Trzech aktorów, jeden serial. Rozpoznasz, o który pytamy? Komplet punktów tylko dla ekspertów",5491
5230,"Rozpoznasz miasto po pomniku? Quiz dla tych, którzy dobrze znają Polskę",1945
5231,"Quiz - Jeśli masz w tym quizie 15/15, to najpewniej jesteś znawcą historii PRL-u - Gazeta.pl",4489
5232,"Biszkopt kakaowy, bita śmietana i dżem to składniki: a) karpatki; b) stefanki; c) wuzetki?",1029
5233,Czemu Koziołek Matołek szukał Pacanowa? Sprawdź się w quizie wiedzy ogólnej,3119
5234,Poznasz włoskie miasto po charakterystycznych obiektach? Z pytania na pytanie będzie coraz trudniej ,384
5235,"Jak się pisze: a) wziąź, b) wziąść, c) wziąć? Wypada, żeby każdy Polak to wiedział",1158
5236,"Gdzie straszy duch Bieluch? Sprawdź, czy rozpoznasz polskie miasta po opisie",693
5237,"Wiesz, jak nazywa się część książki, która zawiera numer strony? To masz już jeden punkt",9414
5238,"Założymy się, że nic już nie pamiętasz z 'Elementarza'? Sprawdź, jak ci pójdzie ",1160
5239,"Wiesz, jak rozwinąć skrótowiec ZUS? W tym quizie pytamy o skróty i skrótowce",1782
5240,Pociągi to Twój ulubiony środek transportu? Ciekawe co wiesz na ich temat! ,1433
5241,Tych kobiet wstyd nie znać. 10 punktów to niemal obowiązek,3367
5242,"Jaka rzeka przepływa przez Malbork? Wiesz, już masz jeden punkt",1209
5243,Rozpoznasz te słynne osoby po ich pseudonimach? Średnia to 10/15,2278
5244,"Zdasz szybki test z wiedzy o Ukrainie? Sprawdź, co wiesz o naszym sąsiedzie",711
5245,"Jeśli czytałeś lektury w podstawówce, to ten quiz nie powinien sprawić ci problemów",586
5246,Quiz - Czym jest herbatka z prądem? W tym quizie pytamy o popularne związki frazeologiczne,3156
5247,Jak dobrze znasz się na gotowaniu? W tym quizie pytamy tylko o dania i napoje na literę R ,27859
5248,Pamiętasz jeszcze coś z chemii? Ciekawe jak poradzisz sobie w tym quizie! ,5201
5249,"Podajemy opis sceny, która działa się w pociągu, Ty rozpoznaj film. Średnia 7/10",20625
5250,Znasz mapę Polski? Nie powinieneś mieć problemów. Pytamy tylko o miasta z  Wielkopolski,752
5251,"Nie odróżniacie łosia od jelenia. Rozpoznasz zwierzę, jeśli pokażemy tylko jego fragment?",2180
5252,"Wiesz, kto jest królem Norwegii? To masz już jeden punkt. W tym quizie pytamy o Skandynawię",1901
5253,Pytamy o przysłowia i powiedzenia o pogodzie. Zdobędziesz komplet punktów?,2535
5254,"Trzy obrazki sugerują tytuł książki, ale my pytamy o ich autorów! Quiz dla oczytanych",2054
5255,Jak miał na imię mąż królowej Elżbiety? Wiesz? Jesteś lepszy niż 60 proc. rozwiązujących,1068
5256,"Te słowa na pewno słyszałeś, ale czy wiesz, co znaczą? ",1666
5257,"Co jest niedopuszczalne w azjatyckiej kuchni? Jeśli wiesz, masz już jeden punkt",331
5258,"Lubisz komedie romantyczne? Pytamy o szczegóły, które wypatrzą tylko uważni widzowie ",848
5259,W dzisiejszym ekstremalnym pytania są niezwykle trudne. Dasz radę?,8085
5260,"Gdzie znajduje się to miasto? Pytamy tylko o te, które kiedyś były stolicami województw",1715
5261,Copiątkowy quiz wiedzy. Komplet punktów dziś poza Waszym zasięgiem ,15880
5262,"Znasz się na markach samochodów? Sprawdzamy, czy znasz ich kraj pochodzenia ",14745
5263,"Młodzi za nim szaleją, bo łatwo jeździ bokiem. Co wiesz o BMW?",358
5264,"Utrudniamy! Zaszyfrowaliśmy nie tylko odpowiedzi, lecz także pytania. Dacie radę?",2951
5265,"Te wyrazy były dawniej używane. Wiesz, co oznaczały? Komplet dla znawców",1628
5266,Koncentracja i umiejętność liczenia. Tylko to się liczy w tym quizie,6162
5267,"Uważasz, że znasz dobrze geografię? Sprawdź, czy poradzisz sobie na maturze",1133
5268,"To proste pytania z ortografii, a prawie połowa z was myli się już w pierwszym pytaniu",2903
5269,"Musieliście uczyć się tego w szkole! Sprawdźcie, czy jeszcze to pamiętacie ",1311
5270,Przetłumaczyliśmy pierwsze wersy zagranicznych piosenek. Odgadniesz ich oryginalny tytuł?,735
5271," Lubisz egzotyczne napoje? Jeśli tak, to w tym quizie poradzisz sobie świetnie ",307
5272,Wiedziałeś co ukrywają przed nami piloci? Oto 15 pytań dla prawdziwych ekspertów lotnictwa,3152
5273,"Wiesz, co oznacza frazeologizm ""umywać ręce""? Jeśli tak, to masz już jeden punkt",2686
5274,"Unikasz kuchni i gotowania? Jeśli tak, to w tym quizie raczej sobie nie poradzisz",28437
5275,"Pytamy o jedzenie na literę K. Niby łatwo, a jednak nie do końca",2685
5276,"Pamiętasz kultowe marki z PRL-u? Jeśli masz więcej niż 40 lat, 12/12 to twój obowiązek",4076
5277,Sól kuchenna wzbogacana jest o związki: a) bromu; b) miedzi; c) jodu. Znasz odpowiedź?,951
5278,12 pytań na podstawie wylosowanych stron z Wikipedii. Ten quiz to istne szaleństwo!,895
5279,"Dziś pytamy o to, czego nie ma! Odpowiesz poprawnie czy wpadniesz w pułapkę?",711
5280,"Które kwiaty kojarzą z Holandią? Sprawdź, czy podniesiesz średnią 8/12",13849
5281,"Tym razem liczy się nie wiedza, lecz myślenie. Umiesz wskazać wyraz, który nie pasuje?",2018
5282,Powstanie warszawskie trwało: a) 63 dni; b) 89 dni; c) 107 dni? Pytamy o rewolucje i powstania,537
5283,"Lubisz się pośmiać? Sprawdź, czy pamiętasz te kultowe polskie komedie",9582
5284,Znasz doskonale mapy? Jesteś orłem z historii? W tym tygodniu to nie wystarczy,785
5285,"Tylko jeśli czytasz książki, poradzisz sobie z naszymi pytaniami. Ułatwienie? Pytamy tylko o znane pozycje",1022
5286,"Pytamy o wszystko, co ostatnie. Przyda się wiedza ogólna ",3410
5287,"My podajemy dwa miasta, ty wskaż trzecie z tego samego województwa. Łatwe zadanie? Niekoniecznie",12721
5288,W którym wieku to się wydarzyło? Pytania mogą cię zaskoczyć,5311
5289,"Jak dobrze znasz geografię naszego kraju? Quiz tylko dla najlepszych, średnia 6/12",1353
5290,"Jesteś szybkim Bilem? To dobrze, bo mamy dla ciebie szybki quiz. Zadamy tylko 5 pytań",19427
5291,"Szybki quiz. Te pięć pytań błyskawicznie sprawdzi, co wiesz o latach 60. XX wieku",17678
5292,Skąd się wzięły te słowa? Tylko erudyci odpowiedzą na te pytania,1041
5293,"Pamiętasz, komu nie chciała darować nocy Beata Kozidrak? Pobij średnią 12/16",2645
5294,Słynna londyńska ulica z płyty Beatlesów to: a) Oxford Street; b) Picadilly; c) Abbey Road?,416
5295,Oglądasz dużo filmów? Tym razem pytamy tylko o sceny taneczne ,2977
5296,W tym quizie pytamy tylko o polskie miasta na literę J. Łatwo? Niekoniecznie ,15560
5297,Trudne słówka od A do Z. Przed tobą trzy poziomy pytań. Tylko najlepsi dotrą do ostatniego,1166
